id	value
1	0.000122489
2	0.000122489
3	0.000122489
4	0.000122489
5	0.000122489
6	0.000122489
7	0.000122489
8	0.000122489
9	0.000122489
10	0.000122489
11	0.000122489
12	0.000122489
13	0.000244978
14	0.000857423
15	0.000244978
16	0.000244978
17	0.000122489
18	0.000244978
19	0.000122489
20	0.000122489
21	0.000122489
22	0.000122489
23	0.000122489
24	0.000244978
25	0.000122489
26	0.000122489
27	0.000122489
28	0.000244978
29	0.000122489
30	0.000244978
31	0.000244978
32	0.000244978
33	0.000244978
34	0.000489956
35	0.000244978
36	0.000244978
37	0.000612445
38	0.000122489
39	0.000122489
40	0.000244978
41	0.000122489
42	0.000122489
43	0.000122489
44	0.000122489
45	0.000122489
46	0.000244978
47	0.000122489
48	0.000612445
49	0.000244978
50	0.000122489
51	0.000367467
52	0.000122489
53	0.000367467
54	0.000122489
55	0.000122489
56	0.000244978
57	0.000367467
58	0.000244978
59	0.000857423
60	0.000612445
61	0.000244978
62	0.000734934
63	0.000244978
64	0.000612445
65	0.000122489
66	0.00134738
67	0.000244978
68	0.000244978
69	0.00171485
70	0.000979912
71	0.000244978
72	0.000122489
73	0.000122489
74	0.0011024
75	0.000244978
76	0.00122489
77	0.000244978
78	0.000244978
79	0.0011024
80	0.000122489
81	0.000734934
82	0.00146987
83	0.000367467
84	0.00159236
85	0.000489956
86	0.00171485
87	0.000122489
88	0.000122489
89	0.000489956
90	0.0022048
91	0.00318471
92	0.00465458
93	0.000367467
94	0.000122489
95	0.00404214
96	0.000122489
97	0.00514454
98	0.000122489
99	0.000122489
100	0.00232729
101	0.000122489
102	0.0022048
103	0.000244978
104	0.000244978
105	0.005512
106	0.000122489
107	0.000122489
108	0.00379716
109	0.00759432
110	0.000122489
111	0.000122489
112	0.00477707
113	0.000244978
114	0.00404214
115	0.000122489
116	0.000122489
117	0.000367467
118	0.0118814
119	0.000122489
120	0.000244978
121	0.00514454
122	0.000122489
123	0.000367467
124	0.00992161
125	0.000367467
126	0.000244978
127	0.00465458
128	0.000367467
129	0.000244978
130	0.00943165
131	0.000122489
132	0.000244978
133	0.00943165
134	0.000367467
135	0.0124939
136	0.000489956
137	0.0124939
138	0.000122489
139	0.000489956
140	0.0077168
141	0.000122489
142	0.000122489
143	0.00122489
144	0.011514
145	0.000367467
146	0.000244978
147	0.000122489
148	0.000122489
149	0.00943165
150	0.000122489
151	0.000367467
152	0.000489956
153	0.0129838
154	0.000979912
155	0.000122489
156	0.0146987
157	0.000244978
158	0.000122489
159	0.000122489
160	0.00685938
161	0.000244978
162	0.000367467
163	0.000489956
164	0.0139637
165	0.000122489
