id	value
1	-0.505928854
2	-0.494071146
3	-0.493083004
4	-0.490118577
5	-0.4743083
6	-0.462450593
7	-0.458498024
8	-0.454545455
9	-0.433794466
10	-0.418972332   
11	-0.411067194
12	-0.410079051
13	-0.407114625
14	-0.395217391
15	-0.383399209
16	-0.367588933
17	-0.363636364
18	-0.359683794
19	-0.354743083
20	-0.351778656
21	-0.347786561
22	-0.343873518
23	-0.339920949
24	-0.335968379
25	-0.328063241
26	-0.324071146
27	-0.322134387
28	-0.320158103
29	-0.316205534
30	-0.312252964
31	-0.308300395
32	-0.300395257
33	-0.296442688
34	-0.292490119
35	-0.288537549
36	-0.280632411
37	-0.276679842
38	-0.272727273
39	-0.271699605
40	-0.268735178
41	-0.267786561
42	-0.26083004
43	-0.259881423
44	-0.256916996
45	-0.255928854
46	-0.252964427
47	-0.251976285
48	-0.249011858
49	-0.248023715
50	-0.246007905
51	-0.245059289
52	-0.244071146
53	-0.241106719
54	-0.240118577
55	-0.237114625
56	-0.236166008
57	-0.233201581
58	-0.232213439
59	-0.229249012
60	-0.225296443
61	-0.2243083
62	-0.221343874
63	-0.220355731
64	-0.217391304
65	-0.216403162
66	-0.213438735
67	-0.213399209
68	-0.212450593
69	-0.209486166
70	-0.205533597
71	-0.204545455
72	-0.204505929
73	-0.20256917
74	-0.201581028
75	-0.199604743
76	-0.197628458
77	-0.196640316
78	-0.195652174
79	-0.193675889
80	-0.192687747
81	-0.18972332
82	-0.185770751
83	-0.183794466
84	-0.181818182
85	-0.179841897
86	-0.177865613
87	-0.17687747
88	-0.176837945
89	-0.175889328
90	-0.173913043
91	-0.169960474
92	-0.166007905
93	-0.165019763
94	-0.164031621
95	-0.162055336
96	-0.160079051
97	-0.158102767
98	-0.157114625
99	-0.156126482
100	-0.154150198
101	-0.152173913
102	-0.150197628
103	-0.149209486
104	-0.148221344
105	-0.146245059
106	-0.145256917
107	-0.144268775
108	-0.14229249
109	-0.138339921
110	-0.137351779
111	-0.137312253
112	-0.134387352
113	-0.133399209
114	-0.130434783
115	-0.12944664
116	-0.129407115
117	-0.128458498
118	-0.126482213
119	-0.125454545
120	-0.124505929
121	-0.122529644
122	-0.12055336
123	-0.119525692
124	-0.118577075
125	-0.117549407
126	-0.116600791
127	-0.114624506
128	-0.112648221
129	-0.111620553
130	-0.110671937
131	-0.109644269
132	-0.108695652
133	-0.106719368
134	-0.104743083
135	-0.102766798
136	-0.100790514
137	-0.098814229
138	-0.097786561
139	-0.096837945
140	-0.09486166
141	-0.093833992
142	-0.092885375
143	-0.091383399
144	-0.090909091
145	-0.089881423
146	-0.088932806
147	-0.087944664
148	-0.08743083
149	-0.086956522
150	-0.085928854
151	-0.084980237
152	-0.083478261
153	-0.083003953
154	-0.081027668
155	-0.080039526
156	-0.079051383
157	-0.078023715
158	-0.076047431
159	-0.075573123
160	-0.075098814
161	-0.074071146
162	-0.07312253
163	-0.071620553
164	-0.071146245
165	-0.070118577
166	-0.06916996
167	-0.068181818
168	-0.067193676
169	-0.066166008
170	-0.065217391
171	-0.064229249
172	-0.063241107
173	-0.062213439
174	-0.061264822
175	-0.06027668
176	-0.059288538
177	-0.057312253
178	-0.056324111
179	-0.055335968
180	-0.0543083
181	-0.051383399
182	-0.050395257
183	-0.050355731
184	-0.049407115
185	-0.048418972
186	-0.04743083
187	-0.046442688
188	-0.045454545
